REF_DATE,GEO,Products_and_product_groups,VALUE,Percent_Change
JUN2006,Alberta,All-items,111.8,
JUN2006,Alberta,Food,107.4,
JUN2006,Alberta,Shelter,120.4,
JUN2006,Alberta,"Household operations, furnishings and equipment",103.3,
JUN2006,Alberta,Clothing and footwear,96.5,
JUN2006,Alberta,Transportation,119.4,
JUN2006,Alberta,Health and personal care,107.2,
JUN2006,Alberta,"Recreation, education and reading",104,
JUN2006,Alberta,Alcoholic beverages and tobacco products,116.1,
JUN2006,Alberta,Energy,136.7,
JUL2006,Alberta,All-items,113.4,
JUL2006,Alberta,Food,108.3,
JUL2006,Alberta,Shelter,126.1,
JUL2006,Alberta,"Household operations, furnishings and equipment",102.6,
JUL2006,Alberta,Clothing and footwear,96.2,
JUL2006,Alberta,Transportation,120.8,
JUL2006,Alberta,Health and personal care,105.9,
JUL2006,Alberta,"Recreation, education and reading",104,
JUL2006,Alberta,Alcoholic beverages and tobacco products,115.9,
JUL2006,Alberta,Energy,154.3,
AUG2006,Alberta,All-items,113.9,
AUG2006,Alberta,Food,108.5,
AUG2006,Alberta,Shelter,126.3,
AUG2006,Alberta,"Household operations, furnishings and equipment",103,
AUG2006,Alberta,Clothing and footwear,98.6,
AUG2006,Alberta,Transportation,121.6,
AUG2006,Alberta,Health and personal care,106.5,
AUG2006,Alberta,"Recreation, education and reading",103.7,
AUG2006,Alberta,Alcoholic beverages and tobacco products,116.3,
AUG2006,Alberta,Energy,154.1,
SEP2006,Alberta,All-items,114.1,
SEP2006,Alberta,Food,109,
SEP2006,Alberta,Shelter,131.2,
SEP2006,Alberta,"Household operations, furnishings and equipment",103.7,
SEP2006,Alberta,Clothing and footwear,101.9,
SEP2006,Alberta,Transportation,115.3,
SEP2006,Alberta,Health and personal care,107,
SEP2006,Alberta,"Recreation, education and reading",102.8,
SEP2006,Alberta,Alcoholic beverages and tobacco products,116.5,
SEP2006,Alberta,Energy,145.6,
OCT2006,Alberta,All-items,113,
OCT2006,Alberta,Food,109.2,
OCT2006,Alberta,Shelter,129.7,
OCT2006,Alberta,"Household operations, furnishings and equipment",102.9,
OCT2006,Alberta,Clothing and footwear,100.9,
OCT2006,Alberta,Transportation,113.3,
OCT2006,Alberta,Health and personal care,106.8,
OCT2006,Alberta,"Recreation, education and reading",101.4,
OCT2006,Alberta,Alcoholic beverages and tobacco products,116.8,
OCT2006,Alberta,Energy,131,
NOV2006,Alberta,All-items,113.7,
NOV2006,Alberta,Food,109.8,
NOV2006,Alberta,Shelter,131.8,
NOV2006,Alberta,"Household operations, furnishings and equipment",103,
NOV2006,Alberta,Clothing and footwear,100.9,
NOV2006,Alberta,Transportation,113.8,
NOV2006,Alberta,Health and personal care,107.5,
NOV2006,Alberta,"Recreation, education and reading",101,
NOV2006,Alberta,Alcoholic beverages and tobacco products,117.5,
NOV2006,Alberta,Energy,135.2,
DEC2006,Alberta,All-items,114.2,
DEC2006,Alberta,Food,110.1,
DEC2006,Alberta,Shelter,133.6,
DEC2006,Alberta,"Household operations, furnishings and equipment",102.9,
DEC2006,Alberta,Clothing and footwear,97,
DEC2006,Alberta,Transportation,114.7,
DEC2006,Alberta,Health and personal care,107,
DEC2006,Alberta,"Recreation, education and reading",101,
DEC2006,Alberta,Alcoholic beverages and tobacco products,118.7,
DEC2006,Alberta,Energy,139.3,
JAN2007,Alberta,All-items,114.7,
JAN2007,Alberta,Food,110.7,
JAN2007,Alberta,Shelter,134.3,
JAN2007,Alberta,"Household operations, furnishings and equipment",103.2,
JAN2007,Alberta,Clothing and footwear,98.1,
JAN2007,Alberta,Transportation,114.9,
JAN2007,Alberta,Health and personal care,107.2,
JAN2007,Alberta,"Recreation, education and reading",101.2,
JAN2007,Alberta,Alcoholic beverages and tobacco products,119.6,
JAN2007,Alberta,Energy,141.1,
FEB2007,Alberta,All-items,115,
FEB2007,Alberta,Food,111.6,
FEB2007,Alberta,Shelter,133.8,
FEB2007,Alberta,"Household operations, furnishings and equipment",104,
FEB2007,Alberta,Clothing and footwear,99.6,
FEB2007,Alberta,Transportation,115.2,
FEB2007,Alberta,Health and personal care,107.8,
FEB2007,Alberta,"Recreation, education and reading",101.9,
FEB2007,Alberta,Alcoholic beverages and tobacco products,119.5,
FEB2007,Alberta,Energy,137.4,
MAR2007,Alberta,All-items,116.4,
MAR2007,Alberta,Food,111.4,
MAR2007,Alberta,Shelter,135.8,
MAR2007,Alberta,"Household operations, furnishings and equipment",103.7,
MAR2007,Alberta,Clothing and footwear,101.8,
MAR2007,Alberta,Transportation,119,
MAR2007,Alberta,Health and personal care,107.2,
MAR2007,Alberta,"Recreation, education and reading",102.2,
MAR2007,Alberta,Alcoholic beverages and tobacco products,119.7,
MAR2007,Alberta,Energy,149.8,
APR2007,Alberta,All-items,117.5,
APR2007,Alberta,Food,112,
APR2007,Alberta,Shelter,138,
APR2007,Alberta,"Household operations, furnishings and equipment",104.1,
APR2007,Alberta,Clothing and footwear,102,
APR2007,Alberta,Transportation,120.5,
APR2007,Alberta,Health and personal care,108.3,
APR2007,Alberta,"Recreation, education and reading",102.4,
APR2007,Alberta,Alcoholic beverages and tobacco products,121.1,
APR2007,Alberta,Energy,157.2,
MAY2007,Alberta,All-items,117.8,
MAY2007,Alberta,Food,111.9,
MAY2007,Alberta,Shelter,135.9,
MAY2007,Alberta,"Household operations, furnishings and equipment",103.9,
MAY2007,Alberta,Clothing and footwear,99.7,
MAY2007,Alberta,Transportation,123.6,
MAY2007,Alberta,Health and personal care,108.6,
MAY2007,Alberta,"Recreation, education and reading",104.3,
MAY2007,Alberta,Alcoholic beverages and tobacco products,124.7,
MAY2007,Alberta,Energy,152.8,
JUN2007,Alberta,All-items,118.8,6.3
JUN2007,Alberta,Food,112.3,4.6
JUN2007,Alberta,Shelter,140,16.3
JUN2007,Alberta,"Household operations, furnishings and equipment",104.5,1.2
JUN2007,Alberta,Clothing and footwear,99.2,2.8
JUN2007,Alberta,Transportation,122.7,2.8
JUN2007,Alberta,Health and personal care,108.6,1.3
JUN2007,Alberta,"Recreation, education and reading",104.7,0.7
JUN2007,Alberta,Alcoholic beverages and tobacco products,125.8,8.4
JUN2007,Alberta,Energy,159.2,16.5
JUL2007,Alberta,All-items,119.1,5.0
JUL2007,Alberta,Food,112.4,3.8
JUL2007,Alberta,Shelter,140.6,11.5
JUL2007,Alberta,"Household operations, furnishings and equipment",104.7,2.0
JUL2007,Alberta,Clothing and footwear,99.2,3.1
JUL2007,Alberta,Transportation,122.4,1.3
JUL2007,Alberta,Health and personal care,108.4,2.4
JUL2007,Alberta,"Recreation, education and reading",105.9,1.8
JUL2007,Alberta,Alcoholic beverages and tobacco products,125.7,8.5
JUL2007,Alberta,Energy,160.8,4.2
AUG2007,Alberta,All-items,119.3,4.7
AUG2007,Alberta,Food,112,3.2
AUG2007,Alberta,Shelter,143.8,13.9
AUG2007,Alberta,"Household operations, furnishings and equipment",104.9,1.8
AUG2007,Alberta,Clothing and footwear,99,0.4
AUG2007,Alberta,Transportation,119.8,-1.5
AUG2007,Alberta,Health and personal care,108.9,2.3
AUG2007,Alberta,"Recreation, education and reading",105.9,2.1
AUG2007,Alberta,Alcoholic beverages and tobacco products,125.1,7.6
AUG2007,Alberta,Energy,161.7,4.9
SEP2007,Alberta,All-items,119.4,4.6
SEP2007,Alberta,Food,111.2,2.0
SEP2007,Alberta,Shelter,143.1,9.1
SEP2007,Alberta,"Household operations, furnishings and equipment",104.8,1.1
SEP2007,Alberta,Clothing and footwear,101.3,-0.6
SEP2007,Alberta,Transportation,121,4.9
SEP2007,Alberta,Health and personal care,109.6,2.4
SEP2007,Alberta,"Recreation, education and reading",105.9,3.0
SEP2007,Alberta,Alcoholic beverages and tobacco products,125.7,7.9
SEP2007,Alberta,Energy,158.3,8.7
OCT2007,Alberta,All-items,118.6,5.0
OCT2007,Alberta,Food,110.6,1.3
OCT2007,Alberta,Shelter,144.5,11.4
OCT2007,Alberta,"Household operations, furnishings and equipment",104.4,1.5
OCT2007,Alberta,Clothing and footwear,99.4,-1.5
OCT2007,Alberta,Transportation,117.3,3.5
OCT2007,Alberta,Health and personal care,109.2,2.2
OCT2007,Alberta,"Recreation, education and reading",104.9,3.5
OCT2007,Alberta,Alcoholic beverages and tobacco products,125.6,7.5
OCT2007,Alberta,Energy,150.8,15.1
NOV2007,Alberta,All-items,119.1,4.7
NOV2007,Alberta,Food,110.5,0.6
NOV2007,Alberta,Shelter,145.3,10.2
NOV2007,Alberta,"Household operations, furnishings and equipment",104.4,1.4
NOV2007,Alberta,Clothing and footwear,100,-0.9
NOV2007,Alberta,Transportation,118.9,4.5
NOV2007,Alberta,Health and personal care,109.6,2.0
